event_id,tournament_title,event_date,purse,city,Yards,par,golf_course,start_date,end_date,is_major,latitude,longitude
782,St. Jude Classic presented by Smith & Nephew,"June 10 - 13, 2010",5600000.0,"Memphis, TN",,70.0,TPC Southwind,2010-06-10,2010-06-13,0.0,35.1460249,-90.0517638
783,Travelers Championship,"June 24 - 27, 2010",6000000.0,"Cromwell, CT",,70.0,TPC River Highlands,2010-06-24,2010-06-27,0.0,41.5949942,-72.6455665
784,BMW Championship,"September 9 - 12, 2010",7500000.0,"Lemont, IL",,71.0,Cog Hill G&CC,2010-09-09,2010-09-12,0.0,41.6737149,-88.0016263
785,World Golf Championships-Bridgestone Invitational,"August 5 - 8, 2010",8500000.0,"Akron, OH",,70.0,Firestone CC (South Course),2010-08-05,2010-08-08,0.0,41.083064,-81.518485
786,John Deere Classic,"July 8 - 11, 2010",4400000.0,"Silvis, IL",,71.0,TPC Deere Run,2010-07-08,2010-07-11,0.0,41.5122561,-90.4151301
787,THE TOUR Championship presented by Coca-Cola,"September 23 - 26, 2010",7500000.0,"Atlanta, GA",,70.0,East Lake Golf Club,2010-09-23,2010-09-26,0.0,33.7489924,-84.3902644
788,Transitions Championship,"March 18 - 21, 2010",5400000.0,"Palm Harbor, FL",,71.0,Innisbrook Resort (Copperhead Course),2010-03-18,2010-03-21,0.0,28.0856815,-82.75690699742961
789,Reno-Tahoe Open,"July 15 - 18, 2010",3000000.0,"Reno, NV",,72.0,Montreux G&CC,2010-07-15,2010-07-18,0.0,39.5261206,-119.8126581
790,World Golf Championships-CA Championship,"March 11 - 14, 2010",8500000.0,"Doral, FL",,72.0,Trump National Doral Golf Course,2010-03-11,2010-03-14,0.0,25.8195424,-80.3553302
791,Wells Fargo Championship,"Apr 29 - May 2, 2010",6500000.0,"Charlotte, NC",,72.0,Quail Hollow Club,2010-04-29,2010-05-02,0.0,35.2272086,-80.8430827
792,Deutsche Bank Championship,"September 3 - 6, 2010",7500000.0,"Norton, MA",,71.0,TPC Boston,2010-09-03,2010-09-06,0.0,41.9667666,-71.1869939
793,Mayakoba Golf Classic at Riviera Maya-Cancun,"February 18 - 21, 2010",3600000.0,"Quintana Roo, Mexico",,71.0,El Camaleón Golf Course at Mayakoba,2010-02-18,2010-02-21,0.0,19.6666671,-88.5000001
794,Turning Stone Resort Championship,"August 5 - 8, 2010",4000000.0,"Verona, NY",7482.0,72.0,Atunyote Golf Club,2010-08-05,2010-08-08,0.0,43.138322,-75.570831
795,Puerto Rico Open presented by Banco Popular,"March 11 - 15, 2010",3500000.0,"Rio Grande, Puerto Rico",,72.0,Grand Reserve Country Club,2010-03-11,2010-03-15,0.0,18.347440900000002,-65.81638138934318
796,Zurich Classic of New Orleans,"April 22 - 25, 2010",6400000.0,"Avondale, LA",,72.0,TPC Louisiana,2010-04-22,2010-04-25,0.0,29.90669,-90.19013768959968
797,U.S. Open,"June 17 - 20, 2010",7500000.0,Blue Course,7040.0,71.0,,2010-06-17,2010-06-20,1.0,40.7866559,-77.8834824
798,The Open Championship,"July 15 - 18, 2010",7000000.0,"St. Andrews, Scotland",7305.0,72.0,St Andrews Links (Old Course),2010-07-15,2010-07-18,1.0,56.3403902,-2.7955844
799,PGA Championship,"August 12 - 15, 2010",7500000.0,"Kohler, WI",7507.0,72.0,Whistling Straits (Straits Course),2010-08-12,2010-08-15,1.0,43.7391616,-87.7817541
800,RBC Canadian Open,"July 22 - 25, 2010",5100000.0,"Etobicoke, Ontario",7079.0,70.0,St. George&apos;s G&CC,2010-07-22,2010-07-25,0.0,43.6435559,-79.5656326
801,Valero Texas Open,"May 13 - 16, 2010",6100000.0,"San Antonio, TX",,72.0,TPC San Antonio (Oaks Course),2010-05-13,2010-05-16,0.0,29.4246002,-98.4951405
802,World Golf Championships-Accenture Match Play Championship,"February 17 - 21, 2010",8500000.0,"Marana, AZ",,,The Golf Club at Dove Mountain,2010-02-17,2010-02-21,0.0,32.4483736,-111.211475
803,AT&T National,"July 1 - 4, 2010",6200000.0,"Newtown Square, PA",,70.0,Aronimink GC,2010-07-01,2010-07-04,0.0,39.9868117,-75.4007633
804,The Greenbrier Classic,"Jul 29 - August 1, 2010",6000000.0,"White Sulphur Springs, WV",,70.0,The Old White Course,2010-07-29,2010-08-01,0.0,37.7965149,-80.2975734
805,Michael Hill New Zealand Open,"January 28 - 31, 2010",600000.0,The Hills Golf Club,7243.0,72.0,,2010-01-28,2010-01-31,0.0,42.4050685,-83.50974112767284
806,Moonah Classic,"February 4 - 7, 2010",600000.0,"Fingal, Australia",7416.0,72.0,Moonah Links,2010-02-04,2010-02-07,0.0,-41.63984,147.969899
807,Panama Claro Championship,"February 25 - 28, 2010",550000.0,"Panama City, Panama",7123.0,70.0,Panama GC,2010-02-25,2010-02-28,0.0,8.9714493,-79.5341802
808,Chitimacha Louisiana Open,"March 25 - 28, 2010",550000.0,"Broussard, LA",7006.0,71.0,Le Triomphe CC,2010-03-25,2010-03-28,0.0,30.1471506,-91.9612413
809,Fresh Express Classic at TPC Stonebrae,"April 15 - 18, 2010",600000.0,"Hayward, CA",7188.0,71.0,TPC San Francisco Bay at Stonebrae,2010-04-15,2010-04-18,0.0,37.6688205,-122.080796
810,South Georgia Classic Pres'd by First State Bank,"April 22 - 25, 2010",625000.0,"Valdosta, GA",7781.0,72.0,Kinderlou Forest Golf Club,2010-04-22,2010-04-25,0.0,30.8327022,-83.2784851
811,BMW Charity Pro-Am Presented by SYNNEX Corporation,"May 13 - 16, 2010",600000.0,,7488.0,72.0,,2010-05-13,2010-05-16,0.0,,
812,The Rex Hospital Open,"May 20 - 23, 2010",550000.0,"Raleigh, NC",7257.0,71.0,TPC at Wakefield Plantation,2010-05-20,2010-05-23,0.0,35.7803977,-78.6390989
813,Knoxville News Sentinel Open,"August 26 - 29, 2010",500000.0,"Knoxville, TN",7110.0,72.0,Fox Den Country Club,2010-08-26,2010-08-29,0.0,35.9603948,-83.9210261
814,Fort Smith Classic,"June 17 - 20, 2010",525000.0,Hardscrabble Country Club,6783.0,70.0,,2010-06-17,2010-06-20,0.0,35.3529167,-94.37856845726851
815,Mexico Open Presented by Corona Light,"June 24 - 27, 2010",650000.0,"Valencia, Spain",7708.0,72.0,El Bosque Golf Club,2010-06-24,2010-06-27,0.0,39.4697065,-0.3763353
816,Ford Wayne Gretzky Classic Presented by Samsung,"July 8 - 11, 2010",800099.0,,7139.0,71.0,,2010-07-08,2010-07-11,0.0,,
817,Nationwide Children's Hospital Invitational,"July 22 - 25, 2010",800000.0,"Columbus, OH",7141.0,72.0,OSU Golf Club (Scarlet Course),2010-07-22,2010-07-25,0.0,39.9622601,-83.0007065
818,Cox Classic Presented by Lexus of Omaha,"Jul 29 - August 1, 2010",725000.0,"Omaha, NE",7145.0,71.0,Champions Run,2010-07-29,2010-08-01,0.0,41.2587459,-95.9383758
819,Preferred Health Systems Wichita Open,"August 5 - 8, 2010",575000.0,"Wichita, KS",6932.0,71.0,Crestview Country Club,2010-08-05,2010-08-08,0.0,37.6922361,-97.3375448
820,Price Cutter Charity Championship Pres'd by Dr Pep,"August 12 - 15, 2010",625000.0,"Springfield, MO",7060.0,72.0,Highland Springs Country Club,2010-08-12,2010-08-15,0.0,37.2081729,-93.2922715
821,Utah Championship Pres'd by Utah Sports Commission,"September 9 - 12, 2010",550000.0,Willow Creek Country Club,6953.0,71.0,,2010-09-09,2010-09-12,0.0,43.94796265,-92.48641207984286
822,Albertsons Boise Open Presented by Kraft,"September 16 - 19, 2010",725000.0,"Boise, ID",6698.0,71.0,Hillcrest Country Club,2010-09-16,2010-09-19,0.0,43.6166163,-116.200886
823,WNB Golf Classic,"September 23 - 26, 2010",525000.0,Midland CC,7354.0,72.0,,2010-09-23,2010-09-26,0.0,31.9973662,-102.077948
824,Soboba Golf Classic,"Sep 30 - October 3, 2010",1000000.0,Soboba Springs,7101.0,71.0,,2010-09-30,2010-10-03,0.0,33.786473650000005,-116.92830655742921
825,Chattanooga Classic Presented by Black Creek,"October 7 - 10, 2010",500000.0,"Chattanooga, TN",7149.0,72.0,Black Creek Golf Club,2010-10-07,2010-10-10,0.0,35.0457219,-85.3094883
826,Miccosukee Championship,"October 14 - 17, 2010",600000.0,Miccosukee G&CC,7200.0,71.0,,2010-10-14,2010-10-17,0.0,,
827,Nationwide Tour Championship at Daniel Island,"October 28 - 31, 2010",1000000.0,"Charleston, SC",7446.0,72.0,Daniel Island Club,2010-10-28,2010-10-31,0.0,32.7884363,-79.9399309
828,Pacific Rubiales Bogota Open Presented by Samsung,"March 4 - 7, 2010",600000.0,"Bogota, Colombia",7237.0,71.0,Country Club de Bogota Lagos,2010-03-04,2010-03-07,0.0,4.6533816,-74.0836333
829,Stadion Athens Classic at UGA,"Apr 29 - May 2, 2010",550000.0,"Athens, GA",7271.0,71.0,University of Georgia GC,2010-04-29,2010-05-02,0.0,33.9597677,-83.376398
831,Melwood Prince George's County Open,"June 3 - 6, 2010",600000.0,"College Park, MD",7015.0,71.0,The University of Maryland GC,2010-06-03,2010-06-06,0.0,38.980666,-76.9369189
832,Mylan Classic,"September 2 - 5, 2010",600000.0,"Canonsburg, PA",6951.0,71.0,Southpointe Golf Club,2010-09-02,2010-09-05,0.0,40.2588431,-80.186732
833,Winn Dixie Jacksonville Open,"October 21 - 24, 2010",600000.0,Dye's Valley Course,6864.0,70.0,,2010-10-21,2010-10-24,0.0,,
834,Viking Classic,"Sep 30 - October 3, 2010",3600000.0,"Madison, MS",,72.0,Annandale GC,2010-09-30,2010-10-03,0.0,32.6308318,-90.0040817
835,Justin Timberlake Shriners Hospitals for Children Open,"October 21 - 24, 2010",4300000.0,"Las Vegas, NV",,71.0,TPC Summerlin,2010-10-21,2010-10-24,0.0,36.1672559,-115.148516
836,Children's Miracle Network Classic,"November 11 - 14, 2010",4700000.0,,,72.0,,2010-11-11,2010-11-14,0.0,,
837,Frys.com Open,"October 14 - 17, 2010",5000000.0,"San Martin, CA",,71.0,CordeValle Golf Club,2010-10-14,2010-10-17,0.0,37.0849464,-121.6102216
838,Ryder Cup,"October 1 - 4, 2010",,"Newport, Wales",7378.0,71.0,The Celtic Manor Resort,2010-10-01,2010-10-04,0.0,51.5882332,-2.9974967
840,Trophee Hassan II,"March 18 - 21, 2010",,,6788.0,72.0,,2010-03-18,2010-03-21,0.0,,
