City,base_url,is_golf_club
" Indianapolis, IN",https://www.wunderground.com/history/daily/KIND/date/2024-10-26,False
" Auckland, New Zealand",https://www.wunderground.com/history/daily/NZAA/date/2024-10-26,False
" Madison, WI",https://www.wunderground.com/history/daily/KMSN/date/2024-10-26,False
" Peabody, MA",https://www.wunderground.com/history/daily/KBOS/date/2024-10-26,False
" Atlantic Beach, FL",https://www.wunderground.com/history/daily/KJAX/date/2024-10-26,False
" Washington, DC",https://www.wunderground.com/history/daily/KDCA/date/2024-10-26,False
" Chiba, Japan",https://www.wunderground.com/history/daily/RJAA/date/2024-10-26,False
" Great Exuma, Bahamas",https://www.wunderground.com/history/daily/KRDU/date/2024-10-26,False
" Great Abaco, Bahamas",https://www.wunderground.com/history/daily/MYNN/date/2024-10-26,False
" Farmington, UT",https://www.wunderground.com/history/daily/KSLC/date/2024-10-26,False
Morgado G&CC,,True
Portstewart GC,,True
Green Eagle Golf Courses,,True
Victoria Clube de Golfe,,True
Close House GC,,True
" West Des Moines, IA",https://www.wunderground.com/history/daily/KDSM/date/2024-10-26,False
" Dallas, TX",https://www.wunderground.com/history/daily/KDAL/date/2024-10-26,False
" Southampton, NY",https://www.wunderground.com/history/daily/KHVN/date/2024-10-26,False
" Southampton Parish, Bermuda",https://www.wunderground.com/history/daily/TXKF/date/2024-10-26,False
" Detroit, MI",https://www.wunderground.com/history/daily/KDET/date/2024-10-26,False
" Truckee, CA",https://www.wunderground.com/history/daily/KRNO/date/2024-10-26,False
" Bradenton, FL",https://www.wunderground.com/history/daily/KSRQ/date/2024-10-26,False
" Nicholasville, KY",https://www.wunderground.com/history/daily/KLEX/date/2024-10-26,False
" North Berwick, Scotland",https://www.wunderground.com/history/daily/EGPH/date/2024-10-26,False
" Brookline, MA",https://www.wunderground.com/history/daily/KBOS/date/2024-10-26,False
" Toronto, ON",https://www.wunderground.com/history/daily/CYTZ/date/2024-10-26,False
" Nuevo Vallarta, Mexico",https://www.wunderground.com/history/daily/KCOU/date/2024-10-26,False
" Wilmington, DE",https://www.wunderground.com/history/daily/YPAG/date/2024-10-26,False
" Ridgeland, SC",https://www.wunderground.com/history/daily/KHXD/date/2024-10-26,False
" Los Angeles, CA",https://www.wunderground.com/history/daily/KLAX/date/2024-10-26,False
" Cabo San Lucas, Mexico",https://www.wunderground.com/history/daily/MMSD/date/2024-10-26,False
" Myrtle Beach, SC",https://www.wunderground.com/history/daily/KMYR/date/2024-10-26,False
