event_id,tournament_title,event_date,purse,city,Yards,par,golf_course,start_date,end_date
197,Chrysler Classic of Tucson,"February 24 - 27, 2005",3000000," Tucson, AZ",7213.0,72.0,Omni Tucson National Golf Resort and Spa,2005-02-24,2005-02-27
198,Bob Hope Chrysler Classic,"January 26 - 30, 2005",4700000,,6478.0,72.0,,2005-01-26,2005-01-30
199,FBR Open,"February 3 - 6, 2005",5200000," Scottsdale, AZ",,71.0,TPC Scottsdale (Stadium Course),2005-02-03,2005-02-06
200,AT&T Pebble Beach National Pro-Am,"February 10 - 13, 2005",5300000,,6822.0,72.0,,2005-02-10,2005-02-13
201,Buick Invitational,"January 20 - 23, 2005",4800000,,,72.0,,2005-01-20,2005-01-23
202,Sony Open in Hawaii,"January 13 - 16, 2005",4800000," Honolulu, HI",7044.0,70.0,Waialae Country Club,2005-01-13,2005-01-16
203,Nissan Open,"February 17 - 20, 2005",4800000," Pacific Palisades, CA",,,Riviera Country Club,2005-02-17,2005-02-20
204,Ford Championship at Doral,"March 3 - 6, 2005",5500000," Doral, FL",,72.0,Trump National Doral Golf Course,2005-03-03,2005-03-06
205,The Honda Classic,"March 10 - 13, 2005",5500000," Palm Beach Gardens, FL",7416.0,72.0,The Country Club at Mirasol Sunrise,2005-03-10,2005-03-13
206,Bay Hill Invitational Presented by MasterCard,"March 17 - 20, 2005",5000000," Orlando, FL",,72.0,Arnold Palmer's Bay Hill Club & Lodge,2005-03-17,2005-03-20
207,Zurich Classic of New Orleans,"Apr 28 - May 1, 2005",5500000," Avondale, LA",,72.0,TPC Louisiana,2005-04-28,2005-05-01
208,THE PLAYERS Championship,"March 24 - 27, 2005",8000000," Ponte Vedra Beach, FL",,72.0,TPC Sawgrass (THE PLAYERS Stadium Course),2005-03-24,2005-03-27
